date,home_team,away_team,home_goals,away_goals,league_slug,country,source,halftime_home,halftime_away,shots_home,shots_away,shots_on_target_home,shots_on_target_away,corners_home,corners_away,fouls_home,fouls_away,yellows_home,yellows_away,reds_home,reds_away,elo_home,elo_away,odds_home,odds_draw,odds_away,max_odds_home,max_odds_draw,max_odds_away,avg_odds_home,avg_odds_draw,avg_odds_away,asian_handicap_line,asian_handicap_home,asian_handicap_away,over25_odds,under25_odds,max_over25,max_under25,xg_home,xg_away,quality_score,league_tier,is_international,score_conflict,tournament,is_neutral
1954-06-16,Austria,Scotland,1,0,world-cup,Neutral,worldcup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,1,0,1954 FIFA Men's World Cup,1
1954-06-16,Brazil,Mexico,5,0,world-cup,Neutral,worldcup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,1,0,1954 FIFA Men's World Cup,1
1954-06-16,Uruguay,Czech Republic,2,0,world-cup,Neutral,worldcup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,1,0,1954 FIFA Men's World Cup,1
1954-06-16,Yugoslavia,France,1,0,world-cup,Neutral,worldcup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,1,0,1954 FIFA Men's World Cup,1
1954-06-17,England,Belgium,4,4,world-cup,Neutral,worldcup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,1,0,1954 FIFA Men's World Cup,1
1954-06-17,Hungary,South Korea,9,0,world-cup,Neutral,worldcup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,1,0,1954 FIFA Men's World Cup,1
1954-06-17,Switzerland,Italy,2,1,world-cup,Neutral,worldcup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,1,0,1954 FIFA Men's World Cup,1
1954-06-17,West Germany,Turkey,4,1,world-cup,Neutral,worldcup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,1,0,1954 FIFA Men's World Cup,1
1954-06-19,Austria,Czech Republic,5,0,world-cup,Neutral,worldcup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,1,0,1954 FIFA Men's World Cup,1
1954-06-19,Brazil,Yugoslavia,1,1,world-cup,Neutral,worldcup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,1,0,1954 FIFA Men's World Cup,1
1954-06-19,France,Mexico,3,2,world-cup,Neutral,worldcup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,1,0,1954 FIFA Men's World Cup,1
1954-06-19,Uruguay,Scotland,7,0,world-cup,Neutral,worldcup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,1,0,1954 FIFA Men's World Cup,1
1954-06-20,England,Switzerland,2,0,world-cup,Neutral,worldcup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,1,0,1954 FIFA Men's World Cup,1
1954-06-20,Hungary,West Germany,8,3,world-cup,Neutral,worldcup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,1,0,1954 FIFA Men's World Cup,1
1954-06-20,Italy,Belgium,4,1,world-cup,Neutral,worldcup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,1,0,1954 FIFA Men's World Cup,1
1954-06-20,Turkey,South Korea,7,0,world-cup,Neutral,worldcup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,1,0,1954 FIFA Men's World Cup,1
1954-06-23,Switzerland,Italy,4,1,world-cup,Neutral,worldcup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,1,0,1954 FIFA Men's World Cup,1
1954-06-23,West Germany,Turkey,7,2,world-cup,Neutral,worldcup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,1,0,1954 FIFA Men's World Cup,1
1954-06-26,Austria,Switzerland,7,5,world-cup,Neutral,worldcup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,1,0,1954 FIFA Men's World Cup,1
1954-06-26,Uruguay,England,4,2,world-cup,Neutral,worldcup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,1,0,1954 FIFA Men's World Cup,1
1954-06-27,Hungary,Brazil,4,2,world-cup,Neutral,worldcup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,1,0,1954 FIFA Men's World Cup,1
1954-06-27,West Germany,Yugoslavia,2,0,world-cup,Neutral,worldcup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,1,0,1954 FIFA Men's World Cup,1
1954-06-30,Hungary,Uruguay,4,2,world-cup,Neutral,worldcup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,1,0,1954 FIFA Men's World Cup,1
1954-06-30,West Germany,Austria,6,1,world-cup,Neutral,worldcup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,1,0,1954 FIFA Men's World Cup,1
1954-07-03,Austria,Uruguay,3,1,world-cup,Neutral,worldcup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,1,0,1954 FIFA Men's World Cup,1
1954-07-04,West Germany,Hungary,3,2,world-cup,Neutral,worldcup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0,1,0,1954 FIFA Men's World Cup,1
